task,status,pos,start,end,duration,client
Design Your Plan for Writing,"crit, active",1stWeek_0,12/7/2017,12/14/2017,7,Admin
 Selecting a paper of revision. ,active,1stWeek_a,12/7/2017,12/9/2017,2,Exercise
Understanding feelings about writing. ,active,1stWeek_1,12/7/2017,12/9/2017,2,Instruction
  Choosing your writing site.,active,1stWeek_b,12/9/2017,12/10/2017,1,Exercise
Keys to positive writing experiences.,active,1stWeek_2,12/9/2017,12/11/2017,2,Instruction
  Designing your writing schedule. ,active,1stWeek_c,12/10/2017,12/12/2017,2,Exercise
 Designing a plan for submitting your article in 12 weeks.,active,1stWeek_3,12/11/2017,12/14/2017,3,Instruction
  Anticipating and overturning writing obstacles.,active,1stWeek_d,12/12/2017,12/14/2017,2,Exercise
Starting Your Article,"crit, active",2ndWeek_0,12/14/2017,12/21/2017,7,Admin
 Hammering out your topic.,active,2ndWeek_a,12/14/2017,12/16/2017,2,Exercise
 Types of academic articles.,active,2ndWeek_1,12/14/2017,12/15/2017,1,Instruction
  Myths about publishable journal articles.,active,2ndWeek_2,12/15/2017,12/16/2017,1,Instruction
 Rereading your paper.,active,2ndWeek_b,12/16/2017,12/17/2017,1,Exercise
  What gets published and why.,active,2ndWeek_3,12/16/2017,12/17/2017,1,Instruction
 Drafting your abstract.,active,2ndWeek_c,12/17/2017,12/19/2017,2,Exercise
  Abstracts as a tool for success.,active,2ndWeek_4,12/17/2017,12/19/2017,2,Instruction
 Reading a model article.,active,2ndWeek_d,12/19/2017,12/20/2017,1,Exercise
   Getting started on your article revision.,active,2ndWeek_5,12/19/2017,12/21/2017,2,Instruction
 Revising your abstract.,active,2ndWeek_e,12/20/2017,12/22/2017,2,Exercise
Advancing Your Argument,"crit, active",3rdWeek_0,12/21/2017,12/28/2017,7,Admin
 Common reasons why journals reject articles. ,active,3rdWeek_1,12/21/2017,12/22/2017,1,Instruction
 Drafting your argument.,active,3rdWeek_a,12/22/2017,12/25/2017,3,Exercise
  Main reason journal articles are rejected- no argument.,active,3rdWeek_2,12/22/2017,12/23/2017,1,Admin
  Making a good argument.,active,3rdWeek_3,12/23/2017,12/25/2017,2,Instruction
 Reviewing your article for an argument.,active,3rdWeek_b,12/25/2017,12/27/2017,2,Exercise
  Organizing your article around your argument.,active,3rdWeek_4,12/25/2017,12/28/2017,3,Instruction
  Revising your article around your argument.,active,3rdWeek_c,12/27/2017,12/29/2017,2,Exercise
Selecting a Journal,"crit, active",4thWeek_0,12/28/2017,1/4/2018,7,Admin
 Good news about journals.,active,4thWeek_1,12/28/2017,12/29/2017,1,Instruction
 Searching for journals.,active,4thWeek_a,12/29/2017,12/30/2017,1,Exercise
  The importance of picking the right journal.,active,4thWeek_2,12/29/2017,12/30/2017,1,Instruction
  Evaluating acedemic journals.,active,4thWeek_b,12/30/2017,12/31/2017,1,Exercise
"  Types of academic journals- nonrecommended, questionable, and preferred.",active,4thWeek_3,12/30/2017,1/1/2018,2,Admin
  Matching your article to suitable journals.,active,4thWeek_c,12/31/2017,1/1/2018,1,Exercise
 Reading relevant journals. ,active,4thWeek_d,1/1/2018,1/3/2018,2,Exercise
  Finding suitable academic journals.,active,4thWeek_4,1/1/2018,1/4/2018,3,Instruction
 Writing a query letter to editors.,active,4thWeek_e,1/3/2018,1/4/2018,1,Exercise
Reviewing the Related Literature,"crit, active",5thWeek_0,1/4/2018,1/11/2018,7,Admin
 Making a final decision about which journal.,active,4thWeek_f,1/4/2018,1/5/2018,1,Exercise
 Reading the scholarly literatures.,active,5thWeek_1,1/4/2018,1/5/2018,1,Instruction
 Evaluating your current conditions.,active,5thWeek_a,1/5/2018,1/6/2018,1,Exercise
 Types of scholarly literature.,active,5thWeek_2,1/5/2018,1/6/2018,1,Instruction
  Identifying and reading the related literature.,active,5thWeek_b,1/6/2018,1/8/2018,2,Exercise
  Strategies for getting reading done.,active,5thWeek_3,1/6/2018,1/7/2018,1,Instruction
  Identifying your relationship to the related literature. ,active,5thWeek_4,1/7/2018,1/8/2018,1,Instruction
Evaluating the related literature.,active,5thWeek_c,1/8/2018,1/10/2018,2,Exercise
  Avoiding plagiarism.,active,5thWeek_5,1/8/2018,1/9/2018,1,Instruction
 Writing about others' research.,active,5thWeek_6,1/9/2018,1/11/2018,2,Instruction
 Writing or revisiting your related literature review.,active,5thWeek_d,1/10/2018,1/12/2018,2,Exercise
Strengthing Your Structure,"crit, active",6thWeek_0,1/11/2018,1/18/2018,7,Admin
 On the importance of structure.,active,6thWeek_1,1/11/2018,1/12/2018,1,Instruction
 Outlining a model article.,active,6thWeek_a,1/12/2018,1/13/2018,1,Exercise
 Types of structures.,active,6thWeek_2,1/12/2018,1/13/2018,1,Instruction
 Outlining your article.,active,6thWeek_b,1/13/2018,1/14/2018,1,Exercise
 Article structures in the social sciences and humanities.,active,6thWeek_3,1/13/2018,1/15/2018,2,Instruction
 Restructuring your article.,active,6thWeek_c,1/14/2018,1/15/2018,1,Exercise
 Discussing evidence in your field.,active,7thWeek_a,1/15/2018,1/17/2018,2,Exercise
 Solving structural problems.,active,6thWeek_4,1/15/2018,1/16/2018,1,Instruction
 Revising for structure.,active,6thWeek_5,1/16/2018,1/18/2018,2,Instruction
  Revisiting your evidence.,active,7thWeek_b,1/17/2018,1/19/2018,2,Exercise
Presenting Your Evidence,"crit, active",7thWeek_0,1/18/2018,1/25/2018,7,Admin
 Types of evidence.,active,7thWeek_1,1/18/2018,1/19/2018,1,Instruction
